text,label
hello,English
how are you,English
good morning,English
hi there,English
good afternoon,English
good evening,English
hey,English
what’s up,English
how’s it going,English
yo,English
nice to meet you,English
pleased to meet you,English
howdy,English
greetings,English
hey there,English
long time no see,English
what's good,English
sup,English
you good,English
all good,English
good to see you,English
how do you do,English
hiya,English
alright mate,English
morning sunshine,English
happy to see you,English
hey pal,English
hello again,English
good day,English
How are you,English
good morning!,English
hey 😊,English
hey there 😊,English
happy to see you,English
happy to see you!,English
hey there!,English
how are you,English
hey pal,English
Greetings,English
hiya!,English
morning sunshine,English
alright mate,English
all good!,English
Howdy,English
good evening,English
long time no see!,English
hey there,English
pleased to meet you,English
you good,English
good afternoon,English
good afternoon!,English
pleased to meet you,English
happy to see you,English
alright mate!,English
Good morning,English
hello again,English
Yo,English
what’s up!,English
Howdy,English
howdy 😊,English
good morning!,English
Howdy,English
long time no see!,English
Happy to see you,English
hello,English
happy to see you!,English
You good,English
greetings!,English
hiya!,English
Good to see you,English
Good to see you,English
all good,English
what's good,English
hey there,English
good morning,English
hiya,English
Greetings,English
what's good,English
you good!,English
long time no see,English
what's good,English
Sup,English
hey,English
what's good,English
yo,English
good day,English
hello!,English
alright mate,English
pleased to meet you!,English
nice to meet you,English
good to see you!,English
hey pal!,English
How are you,English
hi there,English
greetings!,English
greetings!,English
how are you 😊,English
hey,English
what's good!,English
how’s it going!,English
pleased to meet you!,English
hello!,English
how’s it going,English
good morning!,English
hi there!,English
hiya,English
what's good!,English
good morning,English
hi there 😊,English
Hey,English
Hiya,English
Yo,English
hey!,English
nice to meet you,English
morning sunshine,English
Pleased to meet you,English
hey there!,English
happy to see you 😊,English
good day,English
what's good,English
greetings,English
what's good,English
pleased to meet you,English
all good,English
hiya!,English
nice to meet you 😊,English
happy to see you,English
yo!,English
morning sunshine,English
Sup,English
sup,English
happy to see you,English
Pleased to meet you,English
morning sunshine,English
how do you do,English
hey pal!,English
good afternoon!,English
hiya,English
how do you do!,English
good to see you,English
Pleased to meet you,English
how do you do!,English
greetings,English
hey!,English
hi there!,English
hiya,English
Good morning,English
all good,English
all good,English
howdy,English
Alright mate,English
all good,English
how’s it going 😊,English
good to see you!,English
what's good,English
hello again,English
greetings!,English
Good to see you,English
howdy,English
how’s it going,English
what's good,English
Good evening,English
what’s up,English
greetings,English
howdy,English
nice to meet you,English
You good,English
sup,English
how are you!,English
Yo,English
hello again 😊,English
hi there 😊,English
howdy,English
morning sunshine!,English
hi there,English
Pleased to meet you,English
Hello again,English
Hey there,English
hello,English
how are you,English
greetings,English
good morning!,English
hey pal 😊,English
hi there!,English
long time no see,English
good day!,English
all good!,English
what’s up!,English
good day,English
how’s it going,English
good to see you,English
Greetings,English
Howdy,English
alright mate,English
Good morning,English
good day,English
pleased to meet you!,English
hey!,English
you good!,English
hello,English
bonjour,French
comment ça va,French
salut,French
bonsoir,French
coucou,French
ça va bien,French
ça roule,French
allô,French
bienvenue,French
ça gaze,French
enchanté,French
ravi de vous rencontrer,French
salutations,French
salut toi,French
comment vas-tu,French
tout va bien,French
ça va,French
heureux de te voir,French
bon matin,French
salut les amis,French
bon début de soirée,French
bien le bonjour,French
yo mec,French
hey là,French
hola,French
ça bouge,French
coucou toi,French
hello bonjour,French
hello salut,French
coucou toi,French
bienvenue,French
Bonjour,French
coucou toi,French
Hey là,French
Salut,French
tout va bien!,French
comment vas-tu,French
hey là,French
comment vas-tu,French
Comment vas-tu,French
yo mec,French
bonjour,French
coucou toi,French
ça gaze,French
coucou toi!,French
bien le bonjour,French
coucou!,French
Ça bouge,French
Ravi de vous rencontrer,French
bon matin,French
heureux de te voir!,French
Ravi de vous rencontrer,French
ça va!,French
salutations,French
salut 😊,French
bien le bonjour,French
heureux de te voir,French
salutations!,French
hello bonjour,French
bonsoir,French
comment ça va 😊,French
Allô,French
bon matin,French
allô 😊,French
allô!,French
ça bouge,French
Bonjour,French
Bien le bonjour,French
bienvenue,French
hello bonjour!,French
bon matin!,French
ça va bien,French
Salutations,French
Salut toi,French
salut toi!,French
ça va,French
bon début de soirée,French
salut les amis,French
coucou!,French
bienvenue,French
ça roule!,French
bien le bonjour!,French
bonsoir 😊,French
bon matin,French
Heureux de te voir,French
yo mec!,French
Ça va bien,French
Hello bonjour,French
bon matin,French
ça roule!,French
bienvenue,French
ravi de vous rencontrer,French
ça va!,French
salut toi,French
coucou toi!,French
tout va bien!,French
coucou!,French
ça roule,French
coucou toi,French
Hello bonjour,French
Ravi de vous rencontrer,French
salut!,French
Ça bouge,French
ça gaze!,French
hello salut 😊,French
salutations,French
bienvenue 😊,French
hello salut,French
Ravi de vous rencontrer,French
Ça gaze,French
salut les amis,French
coucou toi,French
ça gaze,French
coucou toi,French
ça roule!,French
Ça gaze,French
Ça va,French
Ça gaze,French
hello bonjour,French
Hola,French
salut toi,French
heureux de te voir,French
bien le bonjour,French
bonsoir,French
coucou,French
bienvenue,French
Salut toi,French
Bonsoir,French
Salut,French
comment ça va!,French
ça va bien,French
tout va bien,French
comment vas-tu!,French
ça roule,French
allô 😊,French
salut toi,French
Bonsoir,French
salut toi!,French
bonjour,French
ça va!,French
Bienvenue,French
tout va bien!,French
hello salut!,French
Ça roule,French
salut les amis!,French
ça gaze,French
salutations,French
Hey là,French
bien le bonjour,French
ravi de vous rencontrer!,French
bien le bonjour!,French
comment vas-tu!,French
coucou,French
ça bouge 😊,French
coucou,French
Enchanté,French
comment ça va!,French
bon matin!,French
coucou toi 😊,French
hey là,French
Enchanté,French
bienvenue,French
bien le bonjour,French
coucou toi!,French
Bonjour,French
yo mec!,French
coucou,French
Salut les amis,French
salut,French
heureux de te voir!,French
bon matin!,French
Hello salut,French
salutations,French
allô,French
Ça roule,French
comment ça va!,French
tout va bien,French
enchanté!,French
Enchanté,French
bon matin,French
ça gaze,French
allô,French
hey là!,French
Salut toi,French
coucou!,French
Bien le bonjour,French
tout va bien,French
comment vas-tu!,French
ça roule,French
bonsoir 😊,French
Hey là,French
tout va bien,French
bienvenue!,French
coucou,French
ça roule!,French
Ça va,French
comment vas-tu,French
bienvenue!,French
heureux de te voir!,French
salut les amis 😊,French
hola,Spanish
como estas,Spanish
buenos días,Spanish
buenas tardes,Spanish
buenas noches,Spanish
qué tal,Spanish
cómo estás,Spanish
cómo te va,Spanish
hola amigo,Spanish
qué onda,Spanish
qué pasa,Spanish
mucho gusto,Spanish
encantado de conocerte,Spanish
hola qué tal,Spanish
buenas,Spanish
qué haces,Spanish
todo bien,Spanish
qué hay,Spanish
cómo andas,Spanish
buen día,Spanish
buenas noches amigo,Spanish
hola buenas tardes,Spanish
hola buen día,Spanish
buenas noches señor,Spanish
hola señorita,Spanish
qué tal amigo,Spanish
saludos,Spanish
qué más pues,Spanish
oye hola,Spanish
buen día,Spanish
Buenos días,Spanish
cómo te va,Spanish
qué tal amigo,Spanish
todo bien!,Spanish
saludos,Spanish
saludos!,Spanish
mucho gusto!,Spanish
hola qué tal!,Spanish
todo bien,Spanish
Saludos,Spanish
buenas noches amigo,Spanish
qué haces,Spanish
Qué hay,Spanish
qué más pues!,Spanish
qué tal,Spanish
todo bien,Spanish
qué hay!,Spanish
qué tal,Spanish
hola qué tal,Spanish
qué tal,Spanish
saludos,Spanish
qué tal,Spanish
hola amigo!,Spanish
buenos días!,Spanish
Hola qué tal,Spanish
qué hay,Spanish
buenas noches señor,Spanish
Qué haces,Spanish
Mucho gusto,Spanish
Buenas noches amigo,Spanish
Hola buenas tardes,Spanish
Cómo te va,Spanish
todo bien,Spanish
buenas noches!,Spanish
todo bien,Spanish
encantado de conocerte,Spanish
qué haces!,Spanish
saludos,Spanish
hola,Spanish
hola señorita,Spanish
oye hola,Spanish
hola señorita,Spanish
qué más pues!,Spanish
Hola qué tal,Spanish
Qué más pues,Spanish
qué onda!,Spanish
buenas noches,Spanish
todo bien 😊,Spanish
buen día,Spanish
qué tal,Spanish
buenas noches!,Spanish
qué onda!,Spanish
hola amigo!,Spanish
qué más pues,Spanish
Buenas noches señor,Spanish
encantado de conocerte,Spanish
Hola señorita,Spanish
buenas noches señor!,Spanish
Qué pasa,Spanish
Hola buen día,Spanish
como estas!,Spanish
mucho gusto,Spanish
qué tal!,Spanish
buenas tardes!,Spanish
buenas noches,Spanish
buen día!,Spanish
oye hola!,Spanish
buen día!,Spanish
hola amigo!,Spanish
qué hay,Spanish
qué haces,Spanish
buenas noches 😊,Spanish
Buenas,Spanish
buenas noches!,Spanish
Buenas tardes,Spanish
qué más pues,Spanish
qué haces,Spanish
buen día,Spanish
saludos,Spanish
mucho gusto!,Spanish
qué pasa,Spanish
buenos días!,Spanish
buenos días!,Spanish
Buenos días,Spanish
buenos días,Spanish
hola,Spanish
encantado de conocerte!,Spanish
buenas tardes,Spanish
qué tal,Spanish
Encantado de conocerte,Spanish
Buenas tardes,Spanish
cómo andas,Spanish
Saludos,Spanish
buenas noches!,Spanish
cómo andas,Spanish
qué haces!,Spanish
qué tal amigo,Spanish
encantado de conocerte,Spanish
oye hola,Spanish
como estas,Spanish
mucho gusto,Spanish
qué tal,Spanish
mucho gusto!,Spanish
qué hay!,Spanish
cómo andas!,Spanish
hola amigo!,Spanish
cómo andas,Spanish
todo bien,Spanish
hola señorita!,Spanish
hola amigo,Spanish
como estas,Spanish
buenas noches!,Spanish
Hola señorita,Spanish
buenas noches señor,Spanish
qué tal amigo,Spanish
buenas noches amigo!,Spanish
hola qué tal,Spanish
qué tal amigo!,Spanish
Hola,Spanish
cómo andas!,Spanish
buenas noches,Spanish
todo bien,Spanish
qué tal amigo,Spanish
buenas,Spanish
buenas noches,Spanish
Qué más pues,Spanish
buenas!,Spanish
hola buenas tardes!,Spanish
qué más pues!,Spanish
Hola buenas tardes,Spanish
buenas noches!,Spanish
hola!,Spanish
hola señorita,Spanish
oye hola 😊,Spanish
cómo te va!,Spanish
cómo estás!,Spanish
saludos,Spanish
buenas tardes!,Spanish
buenas noches amigo,Spanish
hola qué tal!,Spanish
hola buenas tardes,Spanish
saludos!,Spanish
Buenas tardes,Spanish
buenas noches 😊,Spanish
saludos,Spanish
qué hay,Spanish
encantado de conocerte,Spanish
Buenas,Spanish
todo bien,Spanish
hola señorita!,Spanish
cómo te va,Spanish
qué tal amigo,Spanish
qué haces,Spanish
hola qué tal,Spanish
qué tal!,Spanish
buenas noches amigo!,Spanish
qué tal amigo 😊,Spanish
todo bien,Spanish
qué tal,Spanish
buen día!,Spanish
buenas noches señor!,Spanish
hola,Spanish
qué más pues!,Spanish
mucho gusto!,Spanish
buenas noches!,Spanish
qué hay,Spanish
qué haces!,Spanish
Cómo andas,Spanish
buenas noches amigo,Spanish
todo bien!,Spanish
